num_est,file_num,law_name,link
18,0066,Ley de Protección a la Fauna para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-proteccion-a-la-fauna-para-el-estado-de-nayarit/
18,0067,Ley de Protección a la Industria de Molinos para Nixtamal y sus Derivados para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-proteccion-a-la-industria-de-molinos-para-nixtamal-y-sus-derivados-para-el-estado-de-nayarit/
18,0068,Ley de Protección Civil para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-proteccion-civil-para-el-estado-de-nayarit/
18,0069,Ley de Protección de Agentes Polinizadores y Fomento Apícola para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-proteccion-de-agentes-polinizadores-y-fomento-apicola-para-el-estado-de-nayarit/
18,0070,Ley de Protección de Datos Personales en Posesión de Sujetos Obligados para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-proteccion-de-datos-personales-en-posesion-de-sujetos-obligados-para-el-estado-de-nayarit/
18,0071,"Ley de Protección, Fomento y Conservación del Arbolado Público del Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-proteccion-fomento-y-conservacion-del-arbolado-publico-del-estado-de-nayarit/
18,0072,Ley de Responsabilidad Patrimonial del Estado de Nayarit y sus Municipios,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-responsabilidad-patrimonial-del-estado-de-nayarit-y-sus-municipios/
18,0073,Ley de Responsabilidades Administrativas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-responsabilidades-administrativas-del-estado-de-nayarit/
18,0074,Ley de Salud para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-salud-para-el-estado-de-nayarit/
18,0075,Ley de Seguridad Integral Escolar para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-seguridad-integral-escolar-para-el-estado-de-nayarit/
18,0076,Ley de Transparencia y Acceso a la Información Pública del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-transparencia-y-acceso-a-la-informacion-publica-del-estado-de-nayarit/
18,0077,Ley de Víctimas para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-victimas-para-el-estado-de-nayarit/
18,0078,Ley de Vivienda para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-vivienda-para-el-estado-de-nayarit/
18,0079,Ley del Fondo de Ahorro para el Retiro Digno de las Trabajadoras y de los Trabajadores del Estado Libre y Soberano de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-fondo-de-ahorro-para-el-retiro-digno-de-las-trabajadoras-y-de-los-trabajadores-del-estado-libre-y-soberano-de-nayarit/
18,0080,Ley del Fondo Soberano Nuevo Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-fondo-soberano-nuevo-nayarit/
18,0081,Ley del Notariado para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-notariado-para-el-estado-de-nayarit/
18,0082,Ley del Patronato para Administrar el Impuesto Especial Destinado a la Universidad Autónoma de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-patronato-para-administrar-el-impuesto-especial-destinado-a-la-universidad-autonoma-de-nayarit/
18,0083,Ley del Periódico Oficial del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-periodico-oficial-del-estado-de-nayarit/
18,0084,Ley del Registro Público del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-registro-publico-del-estado-de-nayarit/
18,0085,Ley del Sistema Local Anticorrupción del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-sistema-anticorrupcion/
18,0086,"Ley del Sistema de Geografía, Estadística y Evaluación del Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-del-sistema-de-geografia-estadistica-y-evaluacion-del-estado-de-nayarit/
18,0087,Ley del Sistema Estatal de Seguridad Pública,https://mexico.justia.com/estatales/nayarit/leyes/ley-del-sistema-estatal-de-seguridad-publica/
18,0088,Ley Electoral del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-electoral-del-estado-de-nayarit/
18,0089,Ley en Materia de Desaparición de Personas para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-en-materia-de-desaparicion-de-personas-para-el-estado-de-nayarit/
18,0090,Ley Estatal del Equilibrio Ecológico y Protección al Ambiente del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-estatal-de-equilibrio-ecologico-y-proteccion-al-ambiente-del-estado-de-nayarit/
18,0091,Ley Ganadera para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-ganadera-del-estado-de-nayarit/
