stage,part,base,start_line,lines,words,chars
split,decreto,0173,0,7,129,825
split,ley,0173,7,65,2494,15443
split,transitorios,0173,72,54,1793,10932
split,decreto,0174,0,5,100,561
split,ley,0174,5,208,5949,38086
split,transitorios,0174,213,11,279,1528
split,decreto,0175,0,6,85,472
split,ley,0175,6,244,6157,39421
split,transitorios,0175,250,16,402,2528
split,decreto,0176,0,7,93,528
split,ley,0176,7,155,4484,28399
split,transitorios,0176,162,48,1322,7870
split,decreto,0177,0,7,95,525
split,ley,0177,7,30,855,5471
split,transitorios,0177,37,14,221,1331
split,decreto,0178,0,5,75,407
split,ley,0178,5,233,8405,53086
split,transitorios,0178,238,7,171,1007
split,decreto,0179,0,7,119,701
split,ley,0179,7,214,6174,39270
split,transitorios,0179,221,27,540,3179
split,decreto,0180,0,7,96,534
split,ley,0180,7,196,5054,32910
split,transitorios,0180,203,59,1347,8096
split,decreto,0181,0,6,91,476
split,ley,0181,6,291,9018,59903
split,transitorios,0181,297,14,504,3046
