stage,source_pdf,base,lines,words,chars
raw,0135.pdf,0135,6707,21940,152898
raw,0136.pdf,0136,10545,31505,224810
raw,0137.pdf,0137,20686,67725,487916
raw,0138.pdf,0138,15100,43813,310220
raw,0139.pdf,0139,16383,67065,472904
raw,0140.pdf,0140,10501,28424,207178
raw,0141.pdf,0141,6488,24547,185864
raw,0142.pdf,0142,5842,24605,192315
raw,0143.pdf,0143,5842,26879,178020
raw,0144.pdf,0144,9631,25366,179759
raw,0145.pdf,0145,5913,27638,181897
raw,0146.pdf,0146,11207,26139,200124
raw,0147.pdf,0147,21869,43692,325163
raw,0148.pdf,0148,12479,42951,298908
raw,0149.pdf,0149,9069,23793,179454
raw,0150.pdf,0150,5306,30217,207821
raw,0151.pdf,0151,19343,85999,608543
raw,0152.pdf,0152,5385,24101,168112
raw,0153.pdf,0153,6442,24395,201281
raw,0154.pdf,0154,17655,59251,402908
raw,0155.pdf,0155,12308,25015,183540
raw,0156.pdf,0156,11786,25222,188417
raw,0157.pdf,0157,4611,23437,190805
raw,0158.pdf,0158,7680,29900,205936
raw,0159.pdf,0159,7701,25307,175170
raw,0160.pdf,0160,6358,26076,190499
raw,0161.pdf,0161,12782,39343,279871
raw,0162.pdf,0162,7676,24488,181520
raw,0163.pdf,0163,6540,28747,193322
raw,0164.pdf,0164,5471,25860,189239
